Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,0.020315,0.021250,0.020401,0.020728,0.020728,901590
2019-09-19,0.020714,0.021709,0.019937,0.021554,0.021554,1034448
2019-09-20,0.021533,0.021765,0.021132,0.021416,0.021416,788475
2019-09-21,0.021401,0.022052,0.021458,0.021509,0.021509,772807
2019-09-22,0.021506,0.021458,0.020619,0.021007,0.021007,775824
2019-09-23,0.021023,0.021773,0.020750,0.020754,0.020754,770318
2019-09-24,0.020746,0.023606,0.018877,0.019501,0.019501,1363917
2019-09-25,0.019504,0.020587,0.019431,0.020136,0.020136,1150776
2019-09-26,0.020120,0.021147,0.019353,0.020536,0.020536,966661
2019-09-27,0.020526,0.021281,0.019779,0.021172,0.021172,958490
2019-09-28,0.021169,0.021317,0.020710,0.021171,0.021171,836223
2019-09-29,0.021176,0.021620,0.020606,0.021039,0.021039,801695
2019-09-30,0.021034,0.021687,0.020140,0.021687,0.021687,910663
2019-10-01,0.021728,0.022179,0.021072,0.021255,0.021255,920055
2019-10-02,0.021242,0.021545,0.020890,0.021531,0.021531,754863
2019-10-03,0.021530,0.021889,0.020896,0.021211,0.021211,772568
2019-10-04,0.021215,0.021759,0.021151,0.021568,0.021568,761513
2019-10-05,0.021563,0.021801,0.021232,0.021634,0.021634,716090
2019-10-06,0.021636,0.022203,0.021444,0.021664,0.021664,732696
2019-10-07,0.021650,0.022116,0.020802,0.021974,0.021974,951331
2019-10-08,0.021965,0.022404,0.021769,0.022120,0.022120,907337
2019-10-09,0.022122,0.022604,0.021018,0.022487,0.022487,1057282
2019-10-10,0.022475,0.022582,0.021931,0.022321,0.022321,975478
2019-10-11,0.022338,0.023471,0.021830,0.021939,0.021939,1096947
2019-10-12,0.021935,0.022348,0.021590,0.021691,0.021691,898972
2019-10-13,0.021695,0.022242,0.021670,0.021881,0.021881,809179
2019-10-14,0.021876,0.022365,0.021692,0.022325,0.022325,868871
2019-10-15,0.022326,0.022883,0.021871,0.022108,0.022108,942244
2019-10-16,0.022101,0.022574,0.021630,0.021872,0.021872,955728
2019-10-17,0.021859,0.022076,0.021541,0.021968,0.021968,831356
2019-10-18,0.021963,0.022347,0.021447,0.021776,0.021776,948960
2019-10-19,0.021779,0.021982,0.021558,0.021645,0.021645,820104
2019-10-20,0.021653,0.021493,0.020823,0.021349,0.021349,827174
2019-10-21,0.021348,0.021561,0.021021,0.021219,0.021219,826789
2019-10-22,0.021217,0.021744,0.021325,0.021329,0.021329,865409
2019-10-23,0.021324,0.022945,0.020954,0.021611,0.021611,1280818
2019-10-24,0.021626,0.021905,0.021470,0.021641,0.021641,974302
2019-10-25,0.021644,0.021130,0.018701,0.020959,0.020959,1196046
2019-10-26,0.020976,0.021194,0.019052,0.019452,0.019452,1496141
2019-10-27,0.019463,0.019699,0.018602,0.019289,0.019289,1132356
2019-10-28,0.019305,0.020298,0.019473,0.019734,0.019734,1124305
2019-10-29,0.019735,0.020349,0.019343,0.020190,0.020190,1126762
2019-10-30,0.020189,0.020760,0.019721,0.020063,0.020063,1138954
2019-10-31,0.020074,0.020517,0.019574,0.019997,0.019997,1044388
2019-11-01,0.019980,0.019982,0.019554,0.019865,0.019865,987529
2019-11-02,0.019870,0.019916,0.019604,0.019725,0.019725,867371
2019-11-03,0.019732,0.020034,0.019471,0.019753,0.019753,948556
2019-11-04,0.019741,0.019976,0.019317,0.019798,0.019798,1121040
2019-11-05,0.019794,0.020472,0.019730,0.020263,0.020263,1072962
2019-11-06,0.020242,0.020676,0.020155,0.020468,0.020468,1084990
2019-11-07,0.020458,0.020702,0.020131,0.020283,0.020283,979896
2019-11-08,0.020278,0.021444,0.020732,0.020922,0.020922,1042238
2019-11-09,0.020933,0.021085,0.020866,0.020994,0.020994,825705
2019-11-10,0.020984,0.021083,0.020395,0.020924,0.020924,966568
2019-11-11,0.020927,0.021734,0.021134,0.021180,0.021180,899476
2019-11-12,0.021189,0.021320,0.020894,0.021194,0.021194,883903
2019-11-13,0.021206,0.021495,0.021109,0.021373,0.021373,833669
2019-11-14,0.021375,0.021662,0.021244,0.021359,0.021359,904063
2019-11-15,0.021366,0.021933,0.021123,0.021258,0.021258,1038117
2019-11-16,0.021255,0.021537,0.021049,0.021442,0.021442,794068
2019-11-17,0.021443,0.021939,0.021256,0.021581,0.021581,858516
2019-11-18,0.021572,0.022496,0.021563,0.021730,0.021730,937224
2019-11-19,0.021723,0.022243,0.021350,0.021625,0.021625,918421
2019-11-20,0.021620,0.022298,0.021837,0.021888,0.021888,897663
